-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2023 through 07/31/2025 in UTC
Location: Latitude  52.3663   Longitude 17.6152 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 99.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
PS        MERRA-2 Surface Pressure (kPa) 
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,T2M,PS,WSC
2023,8,4,23,3.52,53.4,17.39,100.15,2.63
2023,8,5,0,2.89,71.6,17.09,100.19,2.16
2023,8,5,1,2.42,74.9,17.03,100.22,1.8
2023,8,5,2,3.41,75.0,16.48,100.16,2.54
2023,8,5,3,3.6,80.7,16.39,100.17,2.69
2023,8,5,4,3.71,75.0,16.93,100.16,2.77
2023,8,5,5,3.49,65.1,17.6,100.13,2.6
2023,8,5,6,2.58,54.0,18.13,100.14,1.92
2023,8,5,7,2.63,36.3,19.15,100.13,1.96
2023,8,5,8,3.82,26.4,19.85,100.12,2.85
2023,8,5,9,4.91,28.3,20.58,100.06,3.66
2023,8,5,10,4.56,32.5,20.56,100.06,3.4
2023,8,5,11,4.9,21.4,20.11,100.05,3.65
2023,8,5,12,6.17,13.4,19.93,100.0,4.6
2023,8,5,13,7.18,12.4,19.67,99.94,5.36
2023,8,5,14,7.44,13.0,19.28,99.86,5.55
2023,8,5,15,6.44,8.7,18.54,99.84,4.8
2023,8,5,16,5.92,358.9,17.69,99.84,4.42
2023,8,5,17,6.64,354.9,17.04,99.81,4.95
2023,8,5,18,6.98,357.4,16.57,99.8,5.21
2023,8,5,19,7.57,6.1,16.3,99.78,5.65
2023,8,5,20,7.4,9.6,16.13,99.73,5.52
2023,8,5,21,7.69,11.9,15.98,99.66,5.74
2023,8,5,22,8.29,17.0,15.82,99.57,6.18
2023,8,5,23,9.06,23.5,15.62,99.47,6.76
2023,8,6,0,8.92,22.0,15.41,99.34,6.65
2023,8,6,1,9.15,21.5,15.25,99.22,6.82
2023,8,6,2,9.07,19.4,15.09,99.08,6.76
2023,8,6,3,9.06,13.7,14.99,98.96,6.76
2023,8,6,4,9.41,10.3,15.13,98.82,7.02
2023,8,6,5,9.44,12.6,15.56,98.64,7.04
2023,8,6,6,8.14,15.7,16.17,98.47,6.07
2023,8,6,7,5.41,17.3,17.31,98.41,4.04
2023,8,6,8,1.71,351.3,18.36,98.43,1.28
2023,8,6,9,3.16,285.2,19.02,98.42,2.36
2023,8,6,10,4.41,295.8,19.96,98.35,3.29
2023,8,6,11,4.18,301.9,20.73,98.31,3.12
2023,8,6,12,3.81,303.4,21.28,98.28,2.84
2023,8,6,13,4.23,297.9,20.57,98.25,3.15
2023,8,6,14,5.93,284.8,18.83,98.23,4.42
2023,8,6,15,8.84,276.5,16.91,98.28,6.59
2023,8,6,16,11.57,277.3,15.37,98.36,8.63
2023,8,6,17,12.54,276.5,14.36,98.43,9.35
2023,8,6,18,12.31,272.1,13.76,98.48,9.18
2023,8,6,19,11.76,267.4,13.43,98.56,8.77
2023,8,6,20,11.19,261.4,13.08,98.6,8.35
2023,8,6,21,10.87,257.8,12.83,98.63,8.11
2023,8,6,22,10.76,256.1,12.67,98.64,8.03
2023,8,6,23,10.56,257.3,12.52,98.65,7.88
2023,8,7,0,10.2,258.2,12.44,98.68,7.61
2023,8,7,1,10.1,256.6,12.38,98.72,7.53
2023,8,7,2,10.18,255.2,12.24,98.77,7.59
2023,8,7,3,10.21,254.1,11.98,98.8,7.62
2023,8,7,4,9.86,253.4,12.25,98.83,7.35
2023,8,7,5,9.79,255.1,13.29,98.88,7.3
2023,8,7,6,11.27,262.2,15.15,98.91,8.41
2023,8,7,7,12.26,267.2,16.84,98.94,9.14
2023,8,7,8,12.68,270.0,18.15,98.96,9.46
2023,8,7,9,12.88,271.1,19.25,98.98,9.61
2023,8,7,10,12.65,270.5,20.09,99.04,9.44
2023,8,7,11,12.56,270.0,20.35,99.13,9.37
2023,8,7,12,12.92,270.6,20.17,99.19,9.64
2023,8,7,13,13.17,269.8,19.71,99.24,9.82
2023,8,7,14,12.91,266.5,19.18,99.27,9.63
2023,8,7,15,12.25,262.0,18.46,99.26,9.14
2023,8,7,16,11.15,256.7,17.73,99.26,8.32
2023,8,7,17,10.49,257.9,16.81,99.28,7.82
2023,8,7,18,10.97,265.2,15.91,99.32,8.18
2023,8,7,19,11.55,270.3,15.47,99.36,8.61
2023,8,7,20,12.01,270.5,15.13,99.41,8.96
2023,8,7,21,12.19,267.7,14.54,99.45,9.09
2023,8,7,22,11.73,262.8,13.71,99.48,8.75
2023,8,7,23,11.57,259.9,13.11,99.53,8.63
2023,8,8,0,12.01,259.5,13.01,99.56,8.96
2023,8,8,1,12.05,259.0,13.07,99.58,8.99
2023,8,8,2,11.84,256.4,12.85,99.6,8.83
2023,8,8,3,11.6,252.1,12.29,99.64,8.65
2023,8,8,4,10.98,246.4,12.14,99.68,8.19
2023,8,8,5,11.67,244.9,13.05,99.71,8.7
2023,8,8,6,12.47,249.1,14.55,99.73,9.3
2023,8,8,7,12.48,249.3,15.86,99.74,9.31
2023,8,8,8,12.38,247.9,16.81,99.75,9.23
2023,8,8,9,12.29,246.8,17.53,99.75,9.17
2023,8,8,10,11.91,245.4,17.5,99.77,8.88
2023,8,8,11,11.37,243.3,17.95,99.79,8.48
2023,8,8,12,10.99,243.2,18.84,99.8,8.2
2023,8,8,13,10.77,245.2,19.01,99.81,8.03
2023,8,8,14,10.18,246.3,18.47,99.83,7.59
2023,8,8,15,8.91,243.6,18.0,99.85,6.65
2023,8,8,16,7.11,235.1,17.52,99.86,5.3
2023,8,8,17,7.2,227.3,16.38,99.86,5.37
2023,8,8,18,7.82,226.6,15.34,99.88,5.83
2023,8,8,19,8.32,230.4,14.86,99.88,6.21
2023,8,8,20,8.62,238.1,14.32,99.89,6.43
2023,8,8,21,8.43,243.5,13.76,99.92,6.29
2023,8,8,22,7.48,245.7,13.19,99.94,5.58
2023,8,8,23,6.87,242.1,12.75,99.95,5.12
2023,8,9,0,6.7,238.1,12.57,99.95,5.0
2023,8,9,1,6.5,234.8,12.31,99.97,4.85
2023,8,9,2,6.3,232.0,12.06,99.99,4.7
2023,8,9,3,6.17,225.7,11.75,100.01,4.6
2023,8,9,4,5.5,219.4,12.35,100.04,4.1
2023,8,9,5,5.01,226.5,13.76,100.08,3.74
2023,8,9,6,5.35,229.2,15.53,100.12,3.99
2023,8,9,7,6.21,228.6,16.95,100.13,4.63
2023,8,9,8,6.65,229.5,17.87,100.14,4.96
2023,8,9,9,6.43,232.3,18.32,100.14,4.8
2023,8,9,10,5.83,237.4,18.26,100.15,4.35
2023,8,9,11,5.17,242.7,18.16,100.16,3.86
2023,8,9,12,4.51,250.0,18.34,100.18,3.36
2023,8,9,13,4.02,261.0,18.54,100.2,3.0
2023,8,9,14,3.82,271.6,18.36,100.24,2.85
2023,8,9,15,3.77,280.7,18.07,100.27,2.81
2023,8,9,16,3.54,285.6,17.45,100.32,2.64
2023,8,9,17,3.55,287.1,16.1,100.37,2.65
2023,8,9,18,3.61,288.2,15.02,100.44,2.69
2023,8,9,19,3.41,285.3,14.48,100.49,2.54
2023,8,9,20,3.14,278.1,14.11,100.53,2.34
2023,8,9,21,3.06,267.2,13.75,100.56,2.28
2023,8,9,22,3.38,256.3,13.21,100.59,2.52
2023,8,9,23,3.94,249.0,12.75,100.61,2.94
2023,8,10,0,4.57,247.4,12.42,100.64,3.41
2023,8,10,1,5.01,250.2,12.25,100.66,3.74
2023,8,10,2,5.14,254.7,11.92,100.69,3.83
2023,8,10,3,5.01,258.5,11.59,100.73,3.74
2023,8,10,4,4.36,261.0,12.95,100.77,3.25
2023,8,10,5,3.36,257.8,14.48,100.8,2.51
2023,8,10,6,3.98,254.8,17.23,100.82,2.97
2023,8,10,7,4.67,252.3,18.81,100.84,3.48
2023,8,10,8,5.25,253.2,19.69,100.85,3.92
2023,8,10,9,5.4,253.5,20.29,100.85,4.03
2023,8,10,10,5.28,252.0,20.86,100.85,3.94
2023,8,10,11,5.1,249.8,21.3,100.83,3.8
2023,8,10,12,4.93,249.1,21.37,100.82,3.68
2023,8,10,13,4.73,250.5,21.04,100.8,3.53
2023,8,10,14,4.43,253.3,20.82,100.8,3.3
2023,8,10,15,3.95,257.4,20.29,100.81,2.95
2023,8,10,16,3.32,263.8,19.58,100.82,2.48
2023,8,10,17,2.53,275.9,18.29,100.85,1.89
2023,8,10,18,1.57,296.9,17.48,100.89,1.17
2023,8,10,19,0.63,344.4,17.56,100.91,0.47
2023,8,10,20,0.85,86.6,16.97,100.93,0.63
2023,8,10,21,1.57,114.1,16.13,100.93,1.17
2023,8,10,22,2.13,129.1,15.06,100.93,1.59
2023,8,10,23,2.55,142.6,14.29,100.92,1.9
2023,8,11,0,2.83,155.2,13.53,100.91,2.11
2023,8,11,1,2.93,166.2,12.91,100.91,2.19
2023,8,11,2,2.81,175.9,12.59,100.91,2.1
2023,8,11,3,2.44,183.0,12.52,100.92,1.82
2023,8,11,4,1.92,188.4,13.81,100.93,1.43
2023,8,11,5,1.02,192.4,15.6,100.95,0.76
2023,8,11,6,0.94,262.6,18.79,100.97,0.7
2023,8,11,7,1.68,276.5,20.71,101.0,1.25
2023,8,11,8,2.11,274.1,21.58,101.01,1.57
2023,8,11,9,2.56,270.0,22.32,101.02,1.91
2023,8,11,10,3.07,270.0,22.99,101.01,2.29
2023,8,11,11,3.38,275.3,23.4,100.99,2.52
2023,8,11,12,3.61,282.6,23.68,100.98,2.69
2023,8,11,13,3.71,290.8,23.64,101.0,2.77
2023,8,11,14,3.59,298.1,23.43,100.99,2.68
2023,8,11,15,3.25,303.0,23.11,100.99,2.42
2023,8,11,16,2.69,306.2,22.46,100.99,2.01
2023,8,11,17,1.97,315.0,20.81,100.98,1.47
2023,8,11,18,1.01,342.6,20.13,100.99,0.75
2023,8,11,19,0.78,80.4,19.67,101.0,0.58
2023,8,11,20,1.86,121.1,18.15,101.02,1.39
2023,8,11,21,3.02,134.3,16.68,101.04,2.25
2023,8,11,22,4.07,143.0,15.41,101.03,3.04
2023,8,11,23,5.02,150.8,14.6,101.01,3.74
2023,8,12,0,5.89,156.0,14.08,101.0,4.39
2023,8,12,1,6.65,159.0,13.73,100.99,4.96
2023,8,12,2,7.13,162.0,13.46,100.98,5.32
2023,8,12,3,7.32,165.4,13.61,100.99,5.46
2023,8,12,4,6.59,166.7,14.92,100.98,4.92
2023,8,12,5,5.11,162.2,16.19,100.97,3.81
2023,8,12,6,4.7,157.9,18.49,100.95,3.51
2023,8,12,7,6.16,166.7,22.12,100.92,4.59
2023,8,12,8,5.83,166.2,23.9,100.89,4.35
2023,8,12,9,5.56,167.7,25.15,100.84,4.15
2023,8,12,10,5.36,171.4,26.31,100.79,4.0
2023,8,12,11,5.17,175.3,27.22,100.72,3.86
2023,8,12,12,4.98,180.2,27.42,100.67,3.71
2023,8,12,13,4.74,184.7,27.18,100.62,3.54
2023,8,12,14,4.52,185.0,27.06,100.58,3.37
2023,8,12,15,4.39,178.7,26.99,100.54,3.27
2023,8,12,16,4.39,162.8,25.85,100.5,3.27
2023,8,12,17,5.49,150.1,23.68,100.47,4.09
2023,8,12,18,6.86,148.5,22.25,100.46,5.12
2023,8,12,19,7.85,152.9,21.77,100.44,5.86
2023,8,12,20,8.42,159.7,21.35,100.43,6.28
2023,8,12,21,8.6,168.0,21.13,100.42,6.41
2023,8,12,22,8.29,176.1,21.03,100.39,6.18
2023,8,12,23,7.7,184.4,20.65,100.35,5.74
2023,8,13,0,7.06,197.8,20.03,100.33,5.27
2023,8,13,1,6.65,218.1,19.51,100.32,4.96
2023,8,13,2,6.56,239.4,19.14,100.33,4.89
2023,8,13,3,6.49,257.7,18.91,100.37,4.84
2023,8,13,4,5.99,270.8,19.51,100.42,4.47
2023,8,13,5,5.35,283.7,20.5,100.46,3.99
2023,8,13,6,5.29,294.4,21.67,100.5,3.95
2023,8,13,7,5.61,298.2,23.05,100.54,4.18
2023,8,13,8,6.0,298.0,24.54,100.57,4.48
2023,8,13,9,6.05,297.2,25.9,100.58,4.51
2023,8,13,10,5.85,293.9,26.6,100.59,4.36
2023,8,13,11,5.64,289.8,26.97,100.6,4.21
2023,8,13,12,5.37,287.5,27.03,100.6,4.01
2023,8,13,13,4.99,286.3,26.86,100.59,3.72
2023,8,13,14,4.46,286.3,26.51,100.59,3.33
2023,8,13,15,3.8,287.8,25.94,100.59,2.83
2023,8,13,16,3.03,294.4,24.98,100.59,2.26
2023,8,13,17,2.29,313.6,23.33,100.6,1.71
2023,8,13,18,1.89,0.3,22.27,100.62,1.41
2023,8,13,19,2.64,48.7,21.35,100.63,1.97
2023,8,13,20,4.02,72.6,20.39,100.63,3.0
2023,8,13,21,5.08,85.4,19.63,100.65,3.79
2023,8,13,22,5.38,96.5,19.31,100.66,4.01
2023,8,13,23,5.49,107.5,19.24,100.66,4.09
2023,8,14,0,5.65,116.6,19.07,100.67,4.21
2023,8,14,1,5.89,123.2,18.56,100.65,4.39
2023,8,14,2,6.15,127.6,18.13,100.65,4.59
2023,8,14,3,6.38,130.8,17.78,100.65,4.76
2023,8,14,4,5.97,133.4,18.97,100.66,4.45
2023,8,14,5,4.85,134.5,20.45,100.66,3.62
2023,8,14,6,5.09,143.9,23.12,100.65,3.8
2023,8,14,7,5.2,155.9,25.47,100.64,3.88
2023,8,14,8,4.82,171.2,27.07,100.61,3.6
2023,8,14,9,4.4,187.2,28.33,100.58,3.28
2023,8,14,10,4.19,202.8,29.31,100.57,3.13
2023,8,14,11,4.21,214.7,30.02,100.56,3.14
2023,8,14,12,4.31,221.9,30.33,100.55,3.21
2023,8,14,13,4.38,224.7,30.34,100.54,3.27
2023,8,14,14,4.25,223.8,29.89,100.54,3.17
2023,8,14,15,3.77,216.8,28.78,100.54,2.81
2023,8,14,16,3.11,204.1,27.46,100.53,2.32
2023,8,14,17,2.96,184.8,25.93,100.53,2.21
2023,8,14,18,3.54,171.2,24.76,100.54,2.64
2023,8,14,19,4.33,168.3,23.98,100.57,3.23
2023,8,14,20,5.2,170.1,23.34,100.57,3.88
2023,8,14,21,6.06,175.0,22.83,100.56,4.52
2023,8,14,22,6.89,180.0,22.4,100.56,5.14
2023,8,14,23,7.57,183.6,21.91,100.55,5.65
2023,8,15,0,7.69,184.3,21.24,100.53,5.74
2023,8,15,1,7.74,184.1,20.54,100.54,5.77
2023,8,15,2,7.76,183.2,19.96,100.54,5.79
2023,8,15,3,7.63,181.7,19.44,100.55,5.69
2023,8,15,4,6.94,180.3,19.86,100.57,5.18
2023,8,15,5,5.69,177.5,20.94,100.59,4.24
2023,8,15,6,5.12,179.3,23.01,100.61,3.82
2023,8,15,7,6.13,197.0,25.98,100.62,4.57
2023,8,15,8,6.47,199.9,28.37,100.62,4.83
2023,8,15,9,6.79,195.1,30.06,100.62,5.06
2023,8,15,10,7.16,189.9,31.26,100.6,5.34
2023,8,15,11,7.4,187.4,32.11,100.56,5.52
2023,8,15,12,7.34,187.5,32.65,100.51,5.47
2023,8,15,13,6.92,189.6,32.81,100.49,5.16
2023,8,15,14,6.28,191.1,32.56,100.48,4.68
2023,8,15,15,5.7,190.9,31.75,100.48,4.25
2023,8,15,16,5.09,190.8,29.85,100.49,3.8
2023,8,15,17,4.88,189.9,27.01,100.5,3.64
2023,8,15,18,5.07,188.7,25.08,100.52,3.78
2023,8,15,19,5.18,190.1,24.23,100.52,3.86
2023,8,15,20,4.95,191.1,23.55,100.5,3.69
2023,8,15,21,4.68,188.2,22.91,100.5,3.49
2023,8,15,22,4.76,183.4,22.18,100.5,3.55
2023,8,15,23,5.28,181.6,21.36,100.49,3.94
2023,8,16,0,5.92,185.4,20.64,100.49,4.42
2023,8,16,1,6.26,192.4,20.02,100.5,4.67
2023,8,16,2,6.21,200.0,19.46,100.51,4.63
2023,8,16,3,5.7,207.6,18.89,100.53,4.25
2023,8,16,4,4.75,213.1,19.96,100.55,3.54
2023,8,16,5,3.12,212.4,21.18,100.56,2.33
2023,8,16,6,2.43,211.5,23.04,100.57,1.81
2023,8,16,7,2.87,222.2,25.82,100.6,2.14
2023,8,16,8,3.22,230.2,28.21,100.62,2.4
2023,8,16,9,3.13,236.0,29.65,100.64,2.33
2023,8,16,10,2.92,241.3,30.67,100.65,2.18
2023,8,16,11,2.75,251.6,31.25,100.65,2.05
2023,8,16,12,2.72,265.6,31.46,100.63,2.03
2023,8,16,13,2.81,281.5,31.37,100.63,2.1
2023,8,16,14,3.01,298.8,30.96,100.64,2.25
2023,8,16,15,3.39,314.4,30.12,100.63,2.53
2023,8,16,16,4.42,327.4,28.81,100.64,3.3
2023,8,16,17,5.96,337.1,26.49,100.68,4.45
2023,8,16,18,7.3,349.3,24.61,100.73,5.44
2023,8,16,19,8.03,2.4,23.49,100.78,5.99
2023,8,16,20,8.18,14.2,22.53,100.81,6.1
2023,8,16,21,7.91,20.0,21.58,100.83,5.9
2023,8,16,22,7.69,24.3,20.75,100.85,5.74
2023,8,16,23,7.21,27.1,19.95,100.86,5.38
2023,8,17,0,6.79,32.9,19.24,100.87,5.06
2023,8,17,1,6.81,43.1,18.73,100.88,5.08
2023,8,17,2,7.39,51.4,18.45,100.88,5.51
2023,8,17,3,6.99,52.1,18.11,100.88,5.21
2023,8,17,4,6.0,52.5,18.16,100.9,4.48
2023,8,17,5,5.53,57.1,18.74,100.91,4.12
2023,8,17,6,5.47,65.6,19.53,100.92,4.08
2023,8,17,7,4.92,71.7,20.64,100.92,3.67
2023,8,17,8,4.44,79.5,22.21,100.91,3.31
2023,8,17,9,4.15,88.2,24.11,100.88,3.1
2023,8,17,10,4.07,96.5,26.09,100.84,3.04
2023,8,17,11,4.05,102.3,27.36,100.8,3.02
2023,8,17,12,3.84,108.9,28.22,100.76,2.86
2023,8,17,13,3.34,117.6,28.73,100.72,2.49
2023,8,17,14,2.73,127.2,28.82,100.69,2.04
2023,8,17,15,2.12,136.5,28.23,100.67,1.58
2023,8,17,16,1.52,146.8,27.2,100.67,1.13
2023,8,17,17,0.85,154.9,25.9,100.68,0.63
2023,8,17,18,0.77,142.4,24.84,100.71,0.57
2023,8,17,19,1.22,135.0,23.85,100.74,0.91
2023,8,17,20,1.78,135.5,22.83,100.76,1.33
2023,8,17,21,2.19,131.5,22.16,100.78,1.63
2023,8,17,22,2.52,121.5,21.55,100.78,1.88
2023,8,17,23,3.04,112.4,21.02,100.77,2.27
2023,8,18,0,3.63,106.3,20.76,100.76,2.71
2023,8,18,1,4.15,103.2,20.42,100.75,3.1
2023,8,18,2,4.61,102.8,19.99,100.73,3.44
2023,8,18,3,4.9,105.6,19.63,100.73,3.65
2023,8,18,4,4.91,109.0,20.62,100.73,3.66
2023,8,18,5,4.03,111.4,21.54,100.75,3.01
2023,8,18,6,3.59,111.2,22.58,100.78,2.68
2023,8,18,7,3.39,105.9,23.33,100.78,2.53
2023,8,18,8,3.09,90.7,23.84,100.77,2.3
2023,8,18,9,3.28,84.4,24.76,100.75,2.45
2023,8,18,10,3.34,90.5,26.18,100.73,2.49
2023,8,18,11,3.15,99.3,27.36,100.71,2.35
2023,8,18,12,2.92,111.9,27.86,100.67,2.18
2023,8,18,13,2.84,123.5,27.97,100.65,2.12
2023,8,18,14,2.92,130.6,27.78,100.64,2.18
2023,8,18,15,2.95,129.6,27.19,100.63,2.2
2023,8,18,16,3.07,124.1,26.1,100.63,2.29
2023,8,18,17,3.4,117.9,24.07,100.63,2.54
2023,8,18,18,3.93,116.0,22.37,100.65,2.93
2023,8,18,19,4.2,118.0,21.53,100.66,3.13
2023,8,18,20,4.33,120.4,20.8,100.68,3.23
2023,8,18,21,4.5,121.5,20.19,100.7,3.36
2023,8,18,22,4.57,122.4,19.76,100.69,3.41
2023,8,18,23,4.5,123.8,19.38,100.67,3.36
2023,8,19,0,4.28,126.3,19.06,100.64,3.19
2023,8,19,1,3.99,129.7,18.79,100.63,2.98
2023,8,19,2,3.66,133.3,18.58,100.62,2.73
2023,8,19,3,3.21,137.9,18.43,100.62,2.39
2023,8,19,4,2.61,143.0,19.78,100.63,1.95
2023,8,19,5,1.47,149.8,21.54,100.65,1.1
2023,8,19,6,0.77,138.7,23.88,100.67,0.57
2023,8,19,7,1.01,131.0,25.85,100.69,0.75
2023,8,19,8,1.38,139.4,27.21,100.68,1.03
2023,8,19,9,1.68,152.7,28.26,100.68,1.25
2023,8,19,10,1.76,169.2,29.03,100.66,1.31
2023,8,19,11,1.66,190.8,29.52,100.65,1.24
2023,8,19,12,1.6,216.1,29.73,100.62,1.19
2023,8,19,13,1.66,238.0,29.66,100.61,1.24
2023,8,19,14,1.73,251.1,29.54,100.6,1.29
2023,8,19,15,1.62,260.1,29.25,100.6,1.21
2023,8,19,16,1.33,266.6,28.57,100.6,0.99
2023,8,19,17,0.92,270.6,27.49,100.62,0.69
2023,8,19,18,0.43,257.9,26.93,100.66,0.32
2023,8,19,19,0.5,188.0,26.27,100.69,0.37
